x & y,area,speed
"[204, 75]",7056,27
"[211, 74]",7225,34
"[217, 73]",7921,40
"[224, 72]",8100,47
"[230, 71]",8464,50
"[234, 71]",9216,50
"[237, 69]",10404,50
"[240, 69]",10404,50
"[242, 68]",10609,50
"[243, 68]",11449,50
"[242, 69]",11025,50
"[243, 68]",11664,50
"[243, 68]",11664,50
"[242, 68]",11881,50
"[243, 68]",12100,50
"[243, 68]",12100,50
"[243, 69]",12769,50
"[243, 69]",12769,50
"[239, 71]",12769,50
"[234, 70]",13689,50
"[227, 71]",13924,43
"[219, 71]",13689,35
"[213, 70]",13924,30
"[204, 71]",13456,19
"[198, 71]",14641,15
"[189, 72]",14884,4
"[183, 73]",15376,0
"[175, 73]",14641,-9
"[166, 73]",14641,-18
"[160, 74]",15376,-23
"[153, 74]",14400,-30
"[145, 74]",15129,-39
"[138, 74]",14400,-45
"[131, 74]",15129,-50
"[124, 74]",15876,-50
"[118, 75]",15376,-50
"[113, 75]",15625,-50
"[111, 74]",15376,-50
"[111, 74]",15376,-50
"[110, 77]",16384,-50
"[109, 75]",15376,-50
"[110, 76]",15876,-50
"[109, 76]",15625,-50
"[112, 75]",15376,-50
"[112, 75]",15376,-50
"[113, 74]",15129,-50
"[116, 75]",14400,-50
"[119, 76]",14400,-50
"[119, 76]",14400,-50
"[127, 77]",15876,-49
"[135, 77]",15129,-41
"[145, 79]",13689,-30
"[155, 83]",12996,-20
"[165, 84]",13689,-10
"[175, 87]",10609,0
"[186, 90]",14641,11
"[200, 90]",11025,27
"[280, 88]",12996,50
"[277, 87]",12100,50
"[278, 83]",9801,50
"[279, 84]",9604,50
"[279, 84]",9604,50
"[278, 82]",11449,50
"[278, 82]",11449,50
"[278, 83]",10000,50
"[277, 81]",9604,50
"[279, 81]",9801,50
"[279, 81]",9801,50
"[280, 81]",9409,50
"[280, 81]",9409,50
"[282, 81]",9604,50
"[281, 80]",9025,50
"[282, 82]",9025,50
"[282, 82]",8464,50
"[277, 80]",8281,50
"[270, 81]",7396,50
"[264, 79]",7921,50
"[257, 79]",7569,50
"[251, 79]",7744,50
"[245, 80]",7225,50
"[237, 81]",7056,50
"[230, 78]",6889,46
"[224, 79]",6724,41
"[217, 78]",6241,33
"[210, 78]",6561,26
"[204, 79]",6400,21
